semester,course_id,official_lecture_name,official_prof_name,Lecture Name,Professor Name,english,assignments,team_projects,attendance,exams,total_score,etc
2019-2,GBA3034,Business Communication,Kim Joseph,Business Communication,Joseph Kim,All of the course are delivered in English,Many,Average,Checked every time,2,5,"I personally found the course really beneficial for my own self-development and for my future. Although the professor can be a little pushy at times, he means well, because its for our own improvement."
2019-2,GBA2035,IT Management,Lee Kun Chang,IT Management,KunChang Lee,"Most of the course are delivered in English, but Korean is seldomly used.English and Korean are used evenly",Many,Many,Checked randomly,1,4,
2019-2,GEDI001,Introduction to Eastern Thoughts,Back Young Sun,Introduction to East Asian Thought,Youngsun Back,All of the course are delivered in English,None,Average,Checked randomly,2,5,"By far, my most favorite course this semester. If you are doing some kind of cultural major - I would strongly recommend this course, as it is very interesting. Especially, when you are an exchange student in Korea."
2019-2,DES2031,Creative Design,Shin Soo Hyun,Creative Design,신수현,"Most of the course are delivered in English, but Korean is seldomly used.English and Korean are used evenly",Many,None,Checked every time,None,1,It was hard to follow the purpose of this class
2019-2,DES2007,The Study of Color,Hwang Sook Young,The Study of Color,황숙영,English and Korean are used evenly,Many,None,Checked every time,None,1,"Koreans could present their projects and ask questions in korean so the exchange students couldn't understand anything at all (actually the teacher used two of the exchange students that they were half korean to translate everything to us). It's not fair at all, not all foreigners are fluent in english."
2019-2,IEC7007,Basic Korean Program,Choi Jue Lee,Basic Korean Program,,All of the course are delivered in English,None,None,Checked every time,2,4,
2019-2,SWE3021,Multicore Computing,Nam Beom Seok,Multicore Computing,,All of the course are delivered in English,Average,None,Checked every time,2,2,Most of the course material was very specificly about using outdated methods rather than teaching the general methods of parallel programming.
2019-2,SWE3004,Operating Systems,Youn Hee Yong,Operating Systems,,All of the course are delivered in English,Many,Average,Checked every time,2,2,
2019-2,SWE3025,Computer Security,Choi HyoungKee,Computer Security,,"Most of the course are delivered in English, but Korean is seldomly used.English and Korean are used evenly",Average,None,Not checked,2,4,Very good course/course material. Tests and quizzes were not so good. Assignments were mostly about things not covered in detail in class (mostly just mentioned)
2019-2,IEC4010,Political&Economical Development in Korea,Yoo Chull,Political and economical development in South Korea,유철,All of the course are delivered in English,Average,Average,Checked every time,2,4,"Really interesting subject, however sometimes too many informations are delivered so It feel a bit messy. The teacher is really into is class and make it really interesting."
2019-2,GEDS057,Political Issues in Contemporary Korean Politics,Nam Yunmin,Political issues in Contemporary Korean politics,Nam Yunmin,All of the course are delivered in English,Average,None,Checked every time,2,4,Lectures consist of korean history and politics what was interesting to learn. Also teacher made presentations for each lecture what was easy to follow
2019-2,IKS2006,Korean Art and Contemporary popular culture,Kim Sookin,Korean Art and contemporary popular culture,Kim Sookin,All of the course are delivered in English,Average,Average,Checked every time,2,3,"Course was interesting mostly towards the end of semester. If you are not dealing with art or never heard about it, it will be a little difficult for you to follow course"
2019-2,ECO2003,Microeconomics,Lee Jinhyung,Microeconomics,이진형,All of the course are delivered in English,None,None,Checked randomly,2,2,I think the class is good but I didn’t understand it so I am a bit disappointed
2019-2,BUS3042,Marketing Data Analytics,Kim Taewan,Marketing Data Analytics,Kim Taewan,All of the course are delivered in English,Many,Average,Checked every time,2,5,Enjoyed the materials of the course and there was a good amount of team projects which were really applicable for the course. Participating in the class was rewarding.
2019-2,IEC4007,Economics in Global Environments,Byun Hyung Ho,Economics in Global Environments,Byun Hyungho,All of the course are delivered in English,None,None,Checked every time,,4,Good course if you want something pretty chill to take and with just one attendance a week. But I didn’t learn much deeper knowledge in the topic. The professor is really nice though.
2019-2,IEC7007,Basic Korean Program,Yang Jisun,Basic Korean Program,Yang Jisun,English and Korean are used evenly,Average,Average,Checked every time,2,4,"Korean course was a little challenging at first but in the end I really loved it. The teacher is very enthusiastic and it’s a nice class to have at the end of your studying day, and it’s a good class to attend and make friends in."
2019-2,IEC4014,Comparative Thought and Culture: Horizons East and West,Kumar Rajiv,Comparative Thought & Culture: Horizons East & West,Rajiv Kumar,All of the course are delivered in English,Average,Average,Checked randomly,2,3,Decent intro to international political theory and the differences in Asian and Western culture/development/etc. although I wasn’t so sure what I was signing up for in the beginning. Sometimes the classes felt disorganized. It fit well in my schedule though.
2019-2,FTM2035,Interactive Art,Cho Young Sang,Interactive Art,Cho Youngsan,All of the course are delivered in English,Many,Average,Checked every time,None,4,It's a coding program associated with art but the code part is be more overwhelmed. There is homework every week. You need to do 2 projects: one for midterm and one for final. It's challenging but professor is helpful and you can learn new thing.
2019-2,MCJ3056,Theories of Strategic Communication,Chung Sung Eun,Theories of Strategic Communication,Chung Sungeun,All of the course are delivered in English,Many,Average,Checked every time,2,4,There are 2 projects and 2 exams. The professor is helpful and speak English well. The exams are not hard if you study in advance. I am lucky to work with good teammates so I don't have problem with the 2 projects as well.
2019-2,FTM2071,Basic visual editing,Kim Hye Gyung,Basic Visual Editing,Kim HyeKyung,All of the course are delivered in English,Average,None,Checked every time,None,4,There is no team project or exam. This class is about Adobe tools and you need to do assignment by yourself. I learn a lot of new things.
2019-2,GBA3013,Advertising and Promotion Management,Han Young Jee,Advertising and Promotion Management,Han Youngjj,All of the course are delivered in English,Average,Average,Checked every time,1,5,The professor speak excellent English. She gives new knowledge and invites really amazing guess speakers. There is only one presentation and one exam so it is kind off easy class.
2019-2,FTM2071,Basic visual editing,Kim Hye Gyung,Basic visual editing,김혜경,All of the course are delivered in English,Many,None,Checked every time,2,3,"While teaching basic visual editing tools the professor just did her thing without a break. For us not being able to follow till the end or make notes. Teacher repeatly stated her condition is not good leading to missing classes we needed to comprehend in assignments, her uploading review videos of the class too late for assignments or forgetting to uploud stuff etc."
2019-2,GEC3204,Econometrics,Han Hee Joon,econometric,HAN HEE JOON,All of the course are delivered in English,Many,None,Not checked,2,3,
2019-2,GEC3109,Advanced Macroeconomic Theory,Kim Young Se,Advance Macroeconomic Theory,Dr Young Se Kim,All of the course are delivered in English,Average,None,Checked every time,2,4,It is quite challenging and requires strong calculus and macroeconomics foundation. However it is an interesting course because the professor always tries to relate theories to real world examples. He also tries to engage his students through sharing life stories.
2019-2,GEC3401,Public Economics,Lee Dong won,Public Economics,Dr Dongwon Lee,All of the course are delivered in English,Average,None,Checked randomly,2,5,"The course is very interesting (at least to me) because it involves evaluating current tax systems by looking at efficiency levels etc. Furthermore, Dr Dongwon Lee’s English and delivery of the course content is one of the more understandable ones. He goes at a slow pace to cater to everyone’s learning needs, and everyone has any opportunity to answer any questions he would ask at the start of each lesson. It helps you to recap previous content."
2019-2,IEC4014,Comparative Thought and Culture: Horizons East and West,Kumar Rajiv,Comparative thought and culture Horizons east and west,Dr Rajiv Kumar,All of the course are delivered in English,None,Average,Checked every time,2,2,Content is a little dry but the open discussions in class helped to make classes more fun. It’s a kind of like a history module.
2019-2,ECO3033,Health Economics,Lee Jin Hyung,Health Economics,Dr Jinhyung Lee,"Most of the course are delivered in English, but Korean is seldomly used.English and Korean are used evenly",Average,Many,Checked every time,More than 2,4,"It’s really a very interesting module and the content isn’t heavy at all. Occasionally, the professor will explain some terms in korean for the students but otherwise, it doesn’t really matter because those terms aren’t that important. I Guess Google works well for us if we don’t understand any terms. No homework is required. However, there is a group presentation on a topic and a group assignment on R program."
2019-2,SWF2010,Social Work with Adolescents,Hong Jun Sung,Social Work with Adolescents,Dr Junsung Hong,All of the course are delivered in English,Many,None,Not checked,2,5,"It is the easiest module of the 6 modules that I have taken in skku. It is an online module and only requires you to watch online lectures every week and to do a weekly quiz (of just 5 MCQs that can easily be found in the ppt given). Moreover, exams are Also the easiest because it is all MCQ and the professor will tell you what to study too."
2019-2,ECO3032,Economics of Education,Lee Ji Yun,Economics of Education,Dr Jiyun Lee,All of the course are delivered in English,Many,Average,Checked every time,None,5,"It is a module that requires consistent effort as it involves weekly assignments and readings to complete. However, it pays off because at the end of the module, you’ll find that you have gained so much more knowledge and cost benefit analysis about education in general, to know if certain countries’ systems are efficient or not. I feel like while there are many readings to do, I almost always enjoyed myself thoroughly after completing each reading. These readings are also pretty easy to understand. Assignments are also pretty easy as Long as you do your readings and listen in class. Midterms and finals are just submissions of term papers and essays so if you are planning to travel you can finish your papers and submit them early. However, there is groupwork and you will be required to do a 15 minutes presentation on a chosen topic. The professor also speaks very good English so it is a module that I really loved and enjoyed."
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2019-2,BUS2003,Marketing Management,Lee Sunn Young,Marketing Management,Sunnyoung Lee,All of the course are delivered in English,Average,Average,Checked every time,More than 2,4,"Good discussions, involving various countries and markets"
2019-2,COM3022,Artificial Intelligence,Qureshi Nawab Muhammad Fasseh,Articial Intelligence,Nawab Faseeh Qureshi,All of the course are delivered in English,Average,Average,Checked every time,2,3,Lecture was only giving an overview of AI without explaining much technical stuff.
2019-2,AAI2007,Introduction to Algorithm,Han Jin Young,Introduction to Algorithm,Han Jin Young,"Most of the course are delivered in English, but Korean is seldomly used.English and Korean are used evenly",Many,None,Checked every time,2,4,Recommended to have a good understanding of programming to follow the exercises. Was the hardest course in my semester.
2019-2,ESM3061,Data Mining,Lee Jong Seok,Data Mining,Lee Jong Seok,All of the course are delivered in English,None,None,Checked randomly,2,4,I did this course nicely
2019-2,SWE3004,Operating Systems,Youn Hee Yong,Operating Systems,Youn Hee Yong,All of the course are delivered in English,Many,Average,Checked randomly,2,4,"This course was the most difficult one for me as it is the core subject of Computer Science Engineering, but by the help of assignments and projects I understood the concepts."
2019-2,BIZ3015,AI and Management,Lee Kun Chang,AI and Management,Lee Kun Chang,All of the course are delivered in English,Many,Many,Checked every time,2,5,Although I had to go to Seoul campus every-time for this course but this was the best course. I fully enjoyed this. The professor and his way of teaching was amazing.
2019-2,ERC2006,Creative Engineering Design,Lee Jin Wook,Creative Engineering Design,Lee Jin Wook,All of the course are delivered in English,Many,Many,Checked every time,None,5,"This course made me think very differently in terms of engineering, everything in this course was making things differently. This was like making this world a better place to live"
2019-2,EEE3049,Introduction to Computer Networks,Choi Kae Won,Introduction to Computer Networks,Choi Kae Won,All of the course are delivered in English,Average,None,Checked every time,2,3,This was okay nothing more fun but the basic study schedule for this subject.
2019-2,BUS2003,Marketing Management,,Marketing management,,All of the course are delivered in English,None,Average,Checked every time,2,3,I think that in this course you are not going to learn a lot about the subject. Here is more important to say your idea and interact with other students.
2019-2,BUS2028,Organizational Behavior,,Organizational behavior,,All of the course are delivered in English,Average,Average,Checked every time,2,5,I liked the way the professor explain the concepts also using examples etc.
2019-2,GEDG017,Cultures of Globalization,Yoo Chull,Cultures of globalization,,All of the course are delivered in English,None,None,Checked every time,2,5,We covered a lot of topics. This is an occasion to learn more about history amd about other cultures. Really good course
2019-2,ART2036,Issues of Contemporary Art,Kim Gye Won,Issues of contemporary art,,All of the course are delivered in English,None,None,Not checked,1,5,The professor is very skilled. She really cares about her subject and she is able to pass us her passion about art. She also organized one visit to a museum that i found really interesting. I learned a lot thanks to this course.
2019-2,MTH3008,Topics in Algebra,Lim Yong Do,Topics in Algebra,"Lim, Yong do",English and Korean are used evenly,None,Average,Not checked,1,3,"The couurse consist of two parts; an introduction to linear algebra and different yopics within the field and an introduction to simple machibe learning and data analysis based on these topics.
 
 While the prodessor conducted his parts fully in english, the data part was managed by a grad student and was msinly in korean."
2019-2,MTH3019,Differential Geometry Ⅱ,Park Jeong Hyeong,Differential geometry 2,"Park, Jeong Hyeong","Most of the course are delivered in English, but Korean is seldomly used.English and Korean are used evenly",Many,None,Checked every time,2,4,
2019-2,MTH3028,General Topology2,Lee Gye Seon,General Topology2,Lee Gye Seon,All of the course are delivered in English,Many,None,Not checked,2,5,
2019-2,GEC3204,Econometrics,Han Hee Joon,Econometrics,Han Hee Joon,All of the course are delivered in English,Average,None,Not checked,2,5,Heavy but interesting
2019-2,ICE3027,Introduction to Robotics,Kuc Tae Yong,Introduction to Robotics,Kuc Tae Yong,"Most of the course are delivered in English, but Korean is seldomly used.English and Korean are used evenly",Average,None,Checked randomly,2,2,The teacher spoke very poor English
2019-2,GBE3054,BME Introduction to Cognitive Science,Lee Joon Yeol,BME Introduction to Cognitive Science,Lee Joonyeol,"Most of the course are delivered in English, but Korean is seldomly used.English and Korean are used evenly",Average,None,Checked every time,2,5,The course was really interesting.
2019-2,ESM3019,Operations Management,Kwon Daeil,Operations Management,Kwon Daeil,All of the course are delivered in English,Average,Average,Checked every time,2,5,The best course I recieved at SKKU
,,,,,,,,,,,,
2019-2,BUS3028,Derivatieves,Kim Da Hae,Derivatives,Kim Da Hae,All of the course are delivered in English,Average,Average,Checked every time,2,4,Learnt relavent content for the topic and real world
2019-2,,없음,,Introduction to Business Analytics,,All of the course are delivered in English,Average,Many,Checked every time,1,4,
2019-2,,없음,,Intermediate Korean language,Kim Heekyoung,Korean is mostly used,None,None,Checked every time,More than 2,4,Course for those who wants to learn korean fast but you need to have level 1-2 knowledge of korean before taking this course
2019-2,CAL2002,Structural Analysis,Lee Jung Yoon ,Structure Analysis,Lee Joon Yoo,"Most of the course are delivered in English, but Korean is seldomly used.English and Korean are used evenly",None,None,Checked randomly,2,4,I learnt a lot from the professor
2019-1,,없음,,Regular Korean,Lee Narae,Korean is mostly used,Many,Many,checked every time,More than 2,4,It was a very intensive korean course and the teachers didn't speak a word in english. but it was a nice experience!
2019-1,USS2001,Research Methods in Social Sciences,David Oliver Kasdan,Research Methods in Social Sciences,Oliver Kasdan,All of the course are delivered in English,Average,Average,checked every time,More than 2,4,It was a good and interesting course.
2019-1,ECE5967,Security Engineering,Kim Hyoung Shick,Security Engineering,Kim Hyoung Shick,"Most of the course are delivered in English, but Korean is seldomly used.",Many,Many,checked every time,More than 2,4,"great lecturer, interesting assignments"
2019-1,FTM2070,visual editing workshop,Choe Steve,visual editing workshop,Choe Steve,All of the course are delivered in English,Average,None,checked randomly,None,5,The teacher is super nice and super knowledgeable in the field. I thoroughly enjoyed the class
2019-1,COS3016,Ethics of the East and the Wes,Back Young Sun,Ethics of the East and the Wes,Back Young Sun,All of the course are delivered in English,Average,Average,checked every time,2,5,"This course was very interesting to me, a lot of good examples were used, and the professor was energetic in her educational style."
2019-1,GEDI005,Introduction to Philosophy,Won Suck Young,Introduction to Philosophy,Won Suck Young,All of the course are delivered in English,Average,None,checked every time,None,2,"The professor was very passionate about this course topic, but couldn't get a lot of students to be interested in it because it mainly involved boring topics."
2019-1,PSY2004,Modern Social Psychology,Lee Ha Yeon,Modern Social Psychology,Young-Mi Kwon,"Most of the course are delivered in English, but Korean is seldomly used.",Average,Average,checked every time,More than 2,4,"The course involved many topics and was pretty intense. However, it was very interesting. Somehow I felt the exams were of a higher level than the course slides."
2019-1,GBA2004,Introduction to Managerial Accounting,Shin Young Zik,Introduction to Managerial Accounting,Shin Youngjik,All of the course are delivered in English,Average,Average,checked every time,2,5,The professor is so nice that he can deliver the knowledge clearly and well
2019-1,CFS2004,Family Relationships,Choi Hee Jeong,Family Relationships,I don't know,"Most of the course are delivered in English, but Korean is seldomly used.",Average,None,not checked,2,4,"The course was of a level easy to understand. However, the proffessor often filled the lectures with video's, which resulted in less interaction than I wished for."
2019-1,IEC4009,Contemporary Korean Society & Culture,Shin Eui Hang,Contemporary Korean Society and Culture,Eui Hang Shin,All of the course are delivered in English,Average,None,checked randomly,2,5,"Very interesting course! The professor was very good, with an international mindset, and capable of understanding the different cultures around the world. 
 He is a very warmhearted person, who will make you love Korea, the Korean people and their culture. Gamsa habnida Prof. Shin :)"
2019-1,BUS2006,Financial Management,Park Heung Ju,Financial Management,Heungju Park,All of the course are delivered in English,Average,Average,checked every time,2,5,"Demanding, but interesting. The professor tries to convey the big picture."
2019-1,SOC2012,Socialization and Personality,Park Hyo Min,Socialization and Personality,Hyomin Park,"Most of the course are delivered in English, but Korean is seldomly used.",Average,Average,checked every time,2,5,"The course lectures were very interesting, the professor was young, this was brought into his style of education. The assignments were very fun and interesting."
2019-1,BUS2010,Human Resource Management,Kim Andrea,Human Resource Management,Andrea Kim,All of the course are delivered in English,Average,Average,checked every time,2,5,Entertaining and broad scope of content.
2019-1,GBA2029,Consumer Behavior,Han Young Jee,Consumer Behavior,Young Jee Han,"Most of the course are delivered in English, but Korean is seldomly used.",Many,Many,checked every time,2,5,Very interesting presentations. The course is highly focussed on group work.
,,,,,,,,,,,,
2019-1,CFS3054,Practice of Consumer & Market Analysis,Chung Jae Eun,Practice of Consumer & Market Analysis,Jung Jaeeun,"Most of the course are delivered in English, but Korean is seldomly used.",Many,Many,checked every time,1,5,"The course is based on a big group work with lots of assignments related to it. The assignments are interesting, but in a real company you would need more information to solve these tasks properly."
2019-2,GBA2028,Managing Behavior in Organizations,Kim Kyoung Shin,Managing Behavior in Organizations,Kyoungshin Kim,All of the course are delivered in English,Average,Many,checked every time,2,5,This course heavily relies on group work as you constantly work on different topics in your group within class and everyone has to prepare a partial class session with another group.
2019-2,ECE5914,Advanced Digital Communications,Choi Hyung Jin,Advanced digital communications,Choi Hyungjin,All of the course are delivered in English,None,None,checked every time,2,5,"I really enjoyed this professor. He spoke english all the time and made sure everyone understood what he was giving a lecture about. If there were some difficult topics, he would explain it in a thorough way. The best professor I had at SKKU. Even though I didn't get a super high score, I'm still happy because I learned a lot in his class."
2019-2,MCJ3032,Communication Theory,Kweon Sang Hee,Communication Theory,Kweon Sang Hee,"Most of the course are delivered in English, but Korean is seldomly used.",Many,None,checked every time,2,3,Fine.
2019-2,CCS2020,Feminism and Modern Culture,Jang Young Eun,Feminism and Modern Culture,Youngeun Jang,"Most of the course are delivered in English, but Korean is seldomly used.",Average,Average,checked randomly,1,5,"This course is very good, I like it very much~"
2019-2,FTM2007,Film History,Antoine Coppola ,Film History,Antoine Coppola ,All of the course are delivered in English,None,None,checked every time,1,4,I like it very much
2019-1,MCJ3057,Introduction to Media Psychology,Chung Sung Eun,Introduction of Media Psychology,Chung Sung Eun,"Most of the course are delivered in English, but Korean is seldomly used.",Average,Many,checked every time,2,4,Fine
2019-1,GCC3017,Read the world of film age glocal,Lee Yun Jong,Read the world of film age glocal,Lee Yun Jong,"Most of the course are delivered in English, but Korean is seldomly used.",Average,Average,checked every time,None,5,"This course is very good, I like it very much~"
2019-1,GELT002,Seminar for Experience of Global Culture and Entrepreneurship,,Seminar for Experience of Global Culture,,All of the course are delivered in English,Average,Average,checked every time,None,5,"This course is fantastic, I like it very much!		"
2019-1,CSE3040,Human Computer Interaction,Tang Kwok Hung,Human Computer Interaction,Tang Kwok Hung,All of the course are delivered in English,Many,None,checked every time,1,4,"The content is so interesting and the professor also is amazing. But the assignments percentage is so high , I traveled for a long time and I missed 2 assignments and it costed me too much. He checked attendance everytime so it might be a problem for those who dont attend classes much but I am sure you will attend this course willingly :)"
2019-1,COM2008,Object Oriented Programming,Qureshi Nawab Muhammad Faseeh,Object Oriented Programming,Qureshi Nawab Muhammad Faseeh,All of the course are delivered in English,Average,None,checked every time,2,4,"This is a so basic java programming course. If you have known programming before such as c++, this course is a piece of cake for you (it was for me). Assignments are easy and the professor really cares about you to learn and ask questions in the class. Maybe exams are not so relevant to the course content but not that hard to asnwer because they were multiple choice tests."
2019-1,GBA3044,Business Ethics,Clemente Marco,Business Ethics,Clemente Marco,All of the course are delivered in English,Many,Many,checked every time,More than 2,5,"The content of the course is very interesting, and the professor passionated by his subject. He's also very available if you have question about the class, or even about your professional orientation/career/studies... I won't lie, you have to study a lot since you've a quizz graded each week. You've to read around 50 pages of the book (mandatory) each week, then the class is more about practice. You'll have to work in team almost each class."
2019-1,GEDG033,American Society and the Law,Kim Jae Won,American Society and the Law,Kim Jae Won,All of the course are delivered in English,None,None,checked every time,More than 2,3,"This class is easy regarding the content/the grades. The content of the course is more about general culture than a law class. You'll debate about current topics (euthanasia, demonstration, abortion) regarding the actual American situation. The professor speaks good english. We had two quizzes during 20min, and a open-book final exam at home. The final exam was more difficult than what we were doing in class, so it was a bit disappointing, but we finally all had good grades. For me, this class was okay, not bad, but not excellent; I found it not really attractive to hear."
2019-1,LAW5445,East Asian Comparative Law Ⅰ,Patricia Goedde,East Asian Comparative Law,Patricia Goedde,All of the course are delivered in English,Average,None,checked every time,None,5,"This class is a law master/doctorate degree class, but I guess it's accessible if you're a last year bachelor degree student. It's a small class, so the professor is very available, kind, and the atmosphere was very friendly. She's American, so you won't have any issue with her English speaking. Regarding the class, the content is pretty wide: we studied about history of law in East Asia (China, Korea, Japan, Taiwan), human rights, constitutionalism... We attended some conferences, and visited the Korean Constitutional Court. There is no midterm or final since it's a master degree class, you'll have to write 2 short papers (3/4 pages), then you'll have to choose a subject to write a research paper about it (about 10 pages) and you'll have a oral presentation."
2019-1,KID3067,Children’s Rights,Lee Yang Hee,Children’s Rights,Lee Yang Hee,All of the course are delivered in English,None,Many,checked every time,2,5,"This class is about the current situation of children's rights in the world. It will deal with lots of subject: child labor, maltreatment, consequences of war on children, climate change and children, education... You'll have 6 presentations (around 20 min each) during the semester, one mid term and one final. The professor knows her subject very well and is really passionated. I recommend this class."
2019-1,GBA2029,Consumer Behavior,Han Young Jee,Consumer Behavior,Han Young Jee,All of the course are delivered in English,Average,Average,checked every time,More than 2,3,"Good class, good examples but it is d챕j횪 vu"
2019-1,BUS3027,Global Risk Management and Insurance,Jung Hong Joo,Global risk management,"Jung hongju, not sure",English and Korean are used evenly,Average,None,checked every time,2,4,Easy class and interesting
2019-1,GBA3007,International Finance,Wang Changwei,International Finance,Chengwei Wang,All of the course are delivered in English,Average,None,checked randomly,2,5,Very interesting class. The professor is very kind and she explains very well concepts and ideas
2019-1,BUS3037,Marketing Intelligence,Lee Eun Ju,Marketing Intelligence,Lee Eunju,"Most of the course are delivered in English, but Korean is seldomly used.",None,None,not checked,2,3,It is an online course so there is no assignment. Just 2 exams (mid and final exams). It's easy to get A.
